2023-03-07 18:19:37 [scrapy.utils.log] INFO: Scrapy 2.8.0 started (bot: product_scraper)
2023-03-07 18:19:37 [scrapy.utils.log] INFO: Versions: lxml 4.9.2.0, libxml2 2.9.12, cssselect 1.2.0, parsel 1.7.0, w3lib 2.1.1, Twisted 22.10.0, Python 3.10.10 (tags/v3.10.10:aad5f6a, Feb  7 2023, 17:20:36) [MSC v.1929 64 bit (AMD64)], pyOpenSSL 23.0.0 (OpenSSL 3.0.8 7 Feb 2023), cryptography 39.0.2, Platform Windows-10-10.0.19044-SP0
2023-03-07 18:19:53 [scrapy.utils.log] INFO: Scrapy 2.8.0 started (bot: product_scraper)
2023-03-07 18:19:53 [scrapy.utils.log] INFO: Versions: lxml 4.9.2.0, libxml2 2.9.12, cssselect 1.2.0, parsel 1.7.0, w3lib 2.1.1, Twisted 22.10.0, Python 3.10.10 (tags/v3.10.10:aad5f6a, Feb  7 2023, 17:20:36) [MSC v.1929 64 bit (AMD64)], pyOpenSSL 23.0.0 (OpenSSL 3.0.8 7 Feb 2023), cryptography 39.0.2, Platform Windows-10-10.0.19044-SP0
2023-03-07 18:19:53 [scrapy.crawler] INFO: Overridden settings:
{'BOT_NAME': 'product_scraper',
 'FEED_EXPORT_ENCODING': 'utf-8',
 'LOG_FILE': 'rj.log',
 'NEWSPIDER_MODULE': 'product_scraper.spiders',
 'REQUEST_FINGERPRINTER_IMPLEMENTATION': '2.7',
 'ROBOTSTXT_OBEY': True,
 'SPIDER_MODULES': ['product_scraper.spiders'],
 'TWISTED_REACTOR': 'twisted.internet.asyncioreactor.AsyncioSelectorReactor'}
2023-03-07 18:19:53 [asyncio] DEBUG: Using selector: SelectSelector
2023-03-07 18:19:53 [scrapy.utils.log] DEBUG: Using reactor: twisted.internet.asyncioreactor.AsyncioSelectorReactor
2023-03-07 18:19:53 [scrapy.utils.log] DEBUG: Using asyncio event loop: asyncio.windows_events._WindowsSelectorEventLoop
2023-03-07 18:19:53 [scrapy.extensions.telnet] INFO: Telnet Password: b0ee3c10113b25d5
2023-03-07 18:19:53 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.logstats.LogStats']
2023-03-07 18:19:53 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.robotstxt.RobotsTxtMiddleware',
 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2023-03-07 18:19:53 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2023-03-07 18:19:53 [scrapy.middleware] INFO: Enabled item pipelines:
[]
2023-03-07 18:19:53 [scrapy.core.engine] INFO: Spider opened
2023-03-07 18:19:53 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2023-03-07 18:19:53 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6023
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/robots.txt> (referer: None)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/> (referer: None)
2023-03-07 18:19:54 [scrapy.spidermiddlewares.offsite] DEBUG: Filtered offsite request to 'www.enable-javascript.com': <GET http://www.enable-javascript.com/>
2023-03-07 18:19:54 [scrapy.downloadermiddlewares.redirect] DEBUG: Redirecting (302) to <GET https://www.renegadejuggling.com/login> from <GET https://www.renegadejuggling.com/myaccount>
2023-03-07 18:19:54 [scrapy.dupefilters] DEBUG: Filtered duplicate request: <GET https://www.renegadejuggling.com/login> - no more duplicates will be shown (see DUPEFILTER_DEBUG to show all duplicates)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-balls/stage-ball-collection/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/login> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/basket> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-balls/led-glow-balls/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-balls/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-balls/bounce-ball-collection/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-balls/micro-bead-russian-ball-collection/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-balls/beanbags-mmx-leatherballs/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-balls/all-juggling-balls/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-rings/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-rings/flat-juggling-rings/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-balls/ball-juggling-books-dvd/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-rings/renegade-hollow-juggling-rings/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-rings/isolation-rings/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-guides-tips/selecting-a-juggling-hat-type-and-size/> (referer: https://www.renegadejuggling.com/)
2023-03-07 18:19:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.renegadejuggling.com/juggling-guides-tips/how-to-select-and-use-kevlar-fire-wick/> (referer: https://www.renegadejuggling.com/)
